Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2014-2015,Stoke City,Crystal Palace,1,2,"['Asmir Begović', 'Erik Pieters', 'Stephen Ireland', 'Marko Arnautović', 'Marc Wilson', 'Steven Nzonzi', 'Charlie Adam', 'Ryan Shawcross', 'Mame Biram Diouf', 'Geoff Cameron', 'Peter Crouch']","['Jack Butland', 'Phil Bardsley', 'Glenn Whelan', 'Jonathan Walters', 'Steve Sidwell', 'Dionatan Teixeira', 'Philipp Wollscheid']","['Julián Speroni', 'Joel Ward', 'Scott Dann', 'Yannick Bolasie', 'Wilfried Zaha', 'Glenn Murray', 'James McArthur', 'Damien Delaney', 'Joe Ledley', 'Pape Souaré', 'Jason Puncheon']","['Wayne Hennessey', 'Adrian Mariappa', 'Brede Hangeland', 'Yaya Sanogo', 'Dwight Gayle', 'Shola Ameobi', 'Martin Kelly']",[14],"[41, 45]","[[78, 'Peter Crouch', 'Jonathan Walters']]","[[70, 'Pape Souaré', 'Martin Kelly'], [80, 'Wilfried Zaha', 'Dwight Gayle'], [86, 'Glenn Murray', 'Shola Ameobi']]",[],[]
2014-2015,Newcastle United,Arsenal,1,2,"['Tim Krul', 'Ryan Taylor', 'Mike Williamson', 'Moussa Sissoko', 'Vurnon Anita', 'Yoan Gouffran', 'Jack Colback', 'Ayoze Pérez', 'Rémy Cabella', 'Daryl Janmaat', 'Sammy Ameobi']","['Rob Elliot', 'Jonás Gutiérrez', 'Gabriel Obertan', 'Emmanuel Rivière', 'Adam Armstrong', 'Ľubomír Šatka', 'Olivier Kemen']","['David Ospina', 'Gabriel Paulista', 'Laurent Koscielny', 'Alexis Sánchez', 'Olivier Giroud', 'Aaron Ramsey', 'Nacho Monreal', 'Santi Cazorla', 'Calum Chambers', 'Danny Welbeck', 'Francis Coquelin']","['Wojciech Szczęsny', 'Kieran Gibbs', 'Per Mertesacker', 'Tomáš Rosický', 'Theo Walcott', 'Mathieu Flamini', 'Héctor Bellerín']",[48],"[24, 28]","[[72, 'Vurnon Anita', 'Jonás Gutiérrez'], [89, 'Sammy Ameobi', 'Adam Armstrong']]","[[71, 'Alexis Sánchez', 'Mathieu Flamini'], [71, 'Santi Cazorla', 'Tomáš Rosický'], [89, 'Danny Welbeck', 'Héctor Bellerín']]",[],[]
2014-2015,Tottenham Hotspur,Leicester City,4,3,"['Hugo Lloris', 'Kyle Walker', 'Danny Rose', 'Jan Vertonghen', 'Eric Dier', 'Andros Townsend', 'Harry Kane', 'Nacer Chadli', 'Christian Eriksen', 'Ryan Mason', 'Nabil Bentaleb']","['Michel Vorm', 'Vlad Chiricheș', 'Paulinho', 'Emmanuel Adebayor', 'Érik Lamela', 'Mousa Dembélé', 'Ben Davies']","['Kasper Schmeichel', 'Ritchie De Laet', 'Wes Morgan', 'Robert Huth', 'Matthew Upson', 'Matty James', 'Jamie Vardy', 'Jeffrey Schlupp', 'Esteban Cambiasso', 'Leonardo Ulloa', 'David Nugent']","['Mark Schwarzer', 'Paul Konchesky', 'Danny Drinkwater', 'Andy King', 'Riyad Mahrez', 'Marcin Wasilewski', 'Andrej Kramarić']","[6, 13, 64]","[38, 50, 90]","[[4, 'Hugo Lloris', 'Michel Vorm'], [58, 'Andros Townsend', 'Paulinho'], [88, 'Ryan Mason', 'Mousa Dembélé']]","[[46, 'Matthew Upson', 'Marcin Wasilewski'], [76, 'Robert Huth', 'Riyad Mahrez'], [86, 'Esteban Cambiasso', 'Andy King']]",[],[]
2014-2015,Aston Villa,Swansea City,0,1,"['Brad Guzan', 'Jores Okore', 'Ciaran Clark', 'Leandro Bacuna', 'Tom Cleverley', 'Scott Sinclair', 'Gabby Agbonlahor', 'Fabian Delph', 'Christian Benteke', 'Alan Hutton', ""Charles N'Zogbia""]","['Shay Given', 'Andreas Weimann', 'Ashley Westwood', 'Carlos Sánchez', 'Carles Gil', 'Lewis Kinsella', 'Jack Grealish']","['Łukasz Fabiański', 'Neil Taylor', 'Ki Sung-yueng', 'Ashley Williams', 'Jonjo Shelvey', 'Wayne Routledge', 'Bafétimbi Gomis', 'Gylfi Sigurðsson', 'Jack Cork', 'Kyle Naughton', 'Federico Fernández']","['Gerhard Tremmel', 'Jordi Amat', 'Nathan Dyer', 'Nélson Oliveira', 'Jefferson Montero', 'Àngel Rangel', 'Jay Fulton']",[],[87],"[[25, 'Tom Cleverley', 'Carlos Sánchez'], [68, ""Charles N'Zogbia"", 'Ashley Westwood'], [75, 'Christian Benteke', 'Andreas Weimann']]","[[64, 'Gylfi Sigurðsson', 'Jefferson Montero'], [85, 'Jonjo Shelvey', 'Nathan Dyer'], [90, 'Bafétimbi Gomis', 'Nélson Oliveira']]",[],[]
2014-2015,West Ham United,Sunderland,1,0,"['Adrián', 'Aaron Cresswell', 'Kevin Nolan', 'Matt Jarvis', 'Cheikhou Kouyaté', 'Stewart Downing', 'Diafra Sakho', 'Mark Noble', 'Carl Jenkinson', 'James Collins', 'Alex Song']","['Jussi Jääskeläinen', 'Nenê', ""Joey O'Brien"", 'Guy Demel', 'Morgan Amalfitano', 'Diego Poyet', 'Carlton Cole']","['Costel Pantilimon', 'Patrick van Aanholt', 'Wes Brown', 'Seb Larsson', 'Jack Rodwell', 'Steven Fletcher', 'Connor Wickham', 'Jordi Gómez', 'Anthony Réveillère', ""John O'Shea"", 'Jermain Defoe']","['Vito Mannone', 'Billy Jones', 'Liam Bridcutt', 'Adam Johnson', 'Danny Graham', 'Santiago Vergini', 'Duncan Watmore']",[88],[],"[[46, 'Matt Jarvis', 'Carlton Cole'], [80, 'Kevin Nolan', 'Nenê'], [90, 'Diafra Sakho', ""Joey O'Brien""]]","[[12, 'Wes Brown', 'Santiago Vergini'], [73, 'Steven Fletcher', 'Adam Johnson'], [88, 'Jermain Defoe', 'Danny Graham']]",[],[]
2014-2015,Liverpool,Manchester United,1,2,"['Simon Mignolet', 'Philippe Coutinho', 'Jordan Henderson', 'Daniel Sturridge', 'Mamadou Sakho', 'Alberto Moreno', 'Adam Lallana', 'Emre Can', 'Joe Allen', 'Raheem Sterling', 'Martin Škrtel']","['Brad Jones', 'Glen Johnson', 'Kolo Touré', 'Steven Gerrard', 'Rickie Lambert', 'Lucas Leiva', 'Mario Balotelli']","['David de Gea', 'Phil Jones', 'Juan Mata', 'Wayne Rooney', 'Chris Smalling', 'Michael Carrick', 'Daley Blind', 'Ashley Young', 'Ander Herrera', 'Antonio Valencia', 'Marouane Fellaini']","['Víctor Valdés', 'Rafael', 'Marcos Rojo', 'Ángel Di María', 'Radamel Falcao', 'Adnan Januzaj', 'Andreas Pereira']",[69],"[14, 59]","[[46, 'Adam Lallana', 'Steven Gerrard'], [66, 'Alberto Moreno', 'Mario Balotelli']]","[[55, 'Ashley Young', 'Ángel Di María'], [83, 'Ander Herrera', 'Radamel Falcao'], [90, 'Daley Blind', 'Marcos Rojo']]",[],[]
2014-2015,Queens Park Rangers,Everton,1,2,"['Robert Green', 'Steven Caulker', 'Matt Phillips', 'Joey Barton', 'Charlie Austin', 'Yun Suk-young', 'Mauricio Isla', 'Nedum Onuoha', 'Junior Hoilett', 'Bobby Zamora', 'Sandro']","['Alex McCarthy', 'Rio Ferdinand', 'Clint Hill', 'Niko Kranjčar', 'Karl Henry', 'Eduardo Vargas', 'Adel Taarabt']","['Tim Howard', 'Leighton Baines', 'Darron Gibson', 'Phil Jagielka', 'Arouna Koné', 'Romelu Lukaku', 'Aaron Lennon', 'James McCarthy', 'Leon Osman', 'Séamus Coleman', 'John Stones']","['Joel Robles', 'Steven Naismith', 'Ross Barkley', 'Muhamed Bešić', 'Tyias Browning', 'Luke Garbutt', 'Antolín Alcaraz']",[65],"[18, 77]","[[60, 'Junior Hoilett', 'Eduardo Vargas'], [71, 'Sandro', 'Karl Henry'], [82, 'Bobby Zamora', 'Adel Taarabt']]","[[67, 'Romelu Lukaku', 'Ross Barkley'], [79, 'Arouna Koné', 'Steven Naismith']]",[],[]
2014-2015,Hull City,Chelsea,2,3,"['Allan McGregor', 'Andrew Robertson', 'Alex Bruce', 'David Meyler', 'Abel Hernández', 'Jake Livermore', 'Paul McShane', 'Michael Dawson', 'Gastón Ramírez', 'Ahmed Elmohamady', ""Dame N'Doye""]","['Steve Harper', 'Liam Rosenior', 'Curtis Davies', 'Robbie Brady', 'Yannick Sagbo', 'Sone Aluko', 'Stephen Quinn']","['Thibaut Courtois', 'Branislav Ivanović', 'Filipe Luís', 'Cesc Fàbregas', 'Ramires', 'Eden Hazard', 'Diego Costa', 'Nemanja Matić', 'Willian', 'Gary Cahill', 'John Terry']","['Petr Čech', 'Kurt Zouma', 'Oscar', 'Ruben Loftus-Cheek', 'Loïc Rémy', 'Juan Cuadrado', 'César Azpilicueta']","[26, 28]","[2, 9, 77]","[[80, 'David Meyler', 'Stephen Quinn'], [80, 'Gastón Ramírez', 'Robbie Brady'], [81, 'Andrew Robertson', 'Sone Aluko']]","[[61, 'Ramires', 'Oscar'], [75, 'Diego Costa', 'Loïc Rémy'], [80, 'Willian', 'Kurt Zouma']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2014-2015,Arsenal,Liverpool,4,1,"['David Ospina', 'Per Mertesacker', 'Laurent Koscielny', 'Alexis Sánchez', 'Mesut Özil', 'Olivier Giroud', 'Aaron Ramsey', 'Nacho Monreal', 'Santi Cazorla', 'Héctor Bellerín', 'Francis Coquelin']","['Matt Macey', 'Kieran Gibbs', 'Gabriel Paulista', 'Tomáš Rosický', 'Theo Walcott', 'Mathieu Flamini', 'Danny Welbeck']","['Simon Mignolet', 'Kolo Touré', 'Philippe Coutinho', 'Jordan Henderson', 'Mamadou Sakho', 'Alberto Moreno', 'Lucas Leiva', 'Emre Can', 'Joe Allen', 'Raheem Sterling', 'Lazar Marković']","['Brad Jones', 'Glen Johnson', 'Dejan Lovren', 'Daniel Sturridge', 'Javier Manquillo', 'Fabio Borini', 'Cameron Brannagan']","[37, 40, 45, 90]",[76],"[[49, 'Laurent Koscielny', 'Gabriel Paulista'], [62, 'Aaron Ramsey', 'Mathieu Flamini'], [73, 'Mesut Özil', 'Danny Welbeck']]","[[46, 'Lazar Marković', 'Daniel Sturridge']]",[],"[[84, 'Emre Can']]"
2014-2015,Swansea City,Hull City,3,1,"['Łukasz Fabiański', 'Neil Taylor', 'Ki Sung-yueng', 'Ashley Williams', 'Jonjo Shelvey', 'Wayne Routledge', 'Bafétimbi Gomis', 'Gylfi Sigurðsson', 'Jack Cork', 'Kyle Naughton', 'Federico Fernández']","['Gerhard Tremmel', 'Jordi Amat', 'Marvin Emnes', 'Nathan Dyer', 'Nélson Oliveira', 'Matt Grimes', 'Àngel Rangel']","['Allan McGregor', 'Alex Bruce', 'David Meyler', 'Abel Hernández', 'Robbie Brady', 'Jake Livermore', 'Paul McShane', 'Michael Dawson', 'Gastón Ramírez', 'Ahmed Elmohamady', ""Dame N'Doye""]","['Steve Harper', 'Liam Rosenior', 'James Chester', 'Mohamed Diamé', 'Yannick Sagbo', 'Sone Aluko', 'Stephen Quinn']","[18, 37, 90]",[50],"[[56, 'Kyle Naughton', 'Àngel Rangel'], [65, 'Jack Cork', 'Nathan Dyer'], [90, 'Jonjo Shelvey', 'Matt Grimes']]","[[30, 'Gastón Ramírez', 'Stephen Quinn'], [70, 'Alex Bruce', 'Mohamed Diamé'], [81, 'Abel Hernández', 'Sone Aluko']]",[],"[[53, 'David Meyler']]"
2014-2015,Leicester City,West Ham United,2,1,"['Kasper Schmeichel', 'Ritchie De Laet', 'Wes Morgan', 'Robert Huth', 'Matty James', 'Jamie Vardy', 'Jeffrey Schlupp', 'Esteban Cambiasso', 'Leonardo Ulloa', 'Riyad Mahrez', 'David Nugent']","['Mark Schwarzer', 'Paul Konchesky', 'Danny Drinkwater', 'Andy King', 'Marc Albrighton', 'Marcin Wasilewski', 'Andrej Kramarić']","['Adrián', 'Winston Reid', 'Aaron Cresswell', 'Kevin Nolan', 'Cheikhou Kouyaté', 'Stewart Downing', 'Diafra Sakho', 'Mark Noble', 'Carl Jenkinson', 'James Collins', 'Alex Song']","['Jussi Jääskeläinen', 'Matt Jarvis', 'Nenê', ""Joey O'Brien"", 'Guy Demel', 'Morgan Amalfitano', 'Carlton Cole']","[12, 86]",[32],"[[46, 'Riyad Mahrez', 'Marc Albrighton'], [72, 'Leonardo Ulloa', 'Andrej Kramarić'], [79, 'Ritchie De Laet', 'Andy King']]","[[65, 'Kevin Nolan', 'Morgan Amalfitano'], [80, 'Diafra Sakho', 'Carlton Cole'], [88, 'Alex Song', 'Nenê']]",[],[]
2014-2015,Everton,Southampton,1,0,"['Tim Howard', 'Leighton Baines', 'Phil Jagielka', 'Arouna Koné', 'Aaron Lennon', 'James McCarthy', 'Gareth Barry', 'Ross Barkley', 'Leon Osman', 'Séamus Coleman', 'John Stones']","['Joel Robles', 'Kevin Mirallas', 'Steven Naismith', 'Muhamed Bešić', 'Steven Pienaar', 'Luke Garbutt', 'Antolín Alcaraz']","['Kelvin Davis', 'Nathaniel Clyne', 'Morgan Schneiderlin', 'José Fonte', 'Shane Long', 'Victor Wanyama', 'James Ward-Prowse', 'Toby Alderweireld', 'Graziano Pellè', 'Ryan Bertrand', 'Eljero Elia']","['Paulo Gazzaniga', 'Maya Yoshida', 'Sadio Mané', 'Dušan Tadić', 'Filip Đuričić', 'Harrison Reed', 'Matt Targett']",[16],[],"[[70, 'Arouna Koné', 'Steven Naismith'], [71, 'Ross Barkley', 'Muhamed Bešić']]","[[61, 'Eljero Elia', 'Dušan Tadić'], [61, 'James Ward-Prowse', 'Sadio Mané'], [82, 'Toby Alderweireld', 'Filip Đuričić']]",[],[]
2014-2015,West Bromwich Albion,Queens Park Rangers,1,4,"['Boaz Myhill', 'Chris Baird', 'Joleon Lescott', 'James Morrison', 'Craig Gardner', 'Brown Ideye', 'Chris Brunt', 'Saido Berahino', 'Gareth McAuley', 'Darren Fletcher', 'Stéphane Sessègnon']","['Jack Rose', 'Andre Wisdom', 'Jonas Olsson', 'Claudio Yacob', 'Victor Anichebe', 'Sébastien Pocognoli', 'Youssouf Mulumbu']","['Robert Green', 'Steven Caulker', 'Matt Phillips', 'Joey Barton', 'Charlie Austin', 'Yun Suk-young', 'Mauricio Isla', 'Nedum Onuoha', 'Eduardo Vargas', 'Bobby Zamora', 'Sandro']","['Alex McCarthy', 'Clint Hill', 'Frankie Sutherland', 'Niko Kranjčar', 'Karl Henry', 'Junior Hoilett', 'Michael Doughty']",[58],"[15, 37, 43, 90]","[[46, 'Stéphane Sessègnon', 'Victor Anichebe'], [65, 'Chris Baird', 'Jonas Olsson'], [72, 'Craig Gardner', 'Youssouf Mulumbu']]","[[30, 'Eduardo Vargas', 'Niko Kranjčar'], [75, 'Bobby Zamora', 'Karl Henry'], [82, 'Yun Suk-young', 'Clint Hill']]",[],[]
2014-2015,Manchester United,Aston Villa,3,1,"['David de Gea', 'Phil Jones', 'Marcos Rojo', 'Juan Mata', 'Wayne Rooney', 'Michael Carrick', 'Daley Blind', 'Ashley Young', 'Ander Herrera', 'Antonio Valencia', 'Marouane Fellaini']","['Víctor Valdés', 'Rafael', 'Ángel Di María', 'Radamel Falcao', 'Adnan Januzaj', 'Paddy McNair', 'Andreas Pereira']","['Brad Guzan', 'Jores Okore', 'Ciaran Clark', 'Andreas Weimann', 'Gabby Agbonlahor', 'Fabian Delph', 'Christian Benteke', 'Alan Hutton', 'Carlos Sánchez', ""Charles N'Zogbia"", 'Matthew Lowton']","['Shay Given', 'Nathan Baker', 'Ron Vlaar', 'Leandro Bacuna', 'Joe Cole', 'Carles Gil', 'Jack Grealish']","[43, 79, 90]",[80],"[[70, 'Ashley Young', 'Ángel Di María'], [77, 'Marouane Fellaini', 'Radamel Falcao']]","[[46, 'Alan Hutton', 'Leandro Bacuna'], [61, ""Charles N'Zogbia"", 'Nathan Baker'], [77, 'Andreas Weimann', 'Joe Cole']]",[],[]
2014-2015,Chelsea,Stoke City,2,1,"['Thibaut Courtois', 'Branislav Ivanović', 'Cesc Fàbregas', 'Oscar', 'Eden Hazard', 'Loïc Rémy', 'Nemanja Matić', 'Willian', 'Gary Cahill', 'John Terry', 'César Azpilicueta']","['Petr Čech', 'Filipe Luís', 'Kurt Zouma', 'Ramires', 'Didier Drogba', 'Diego Costa', 'Juan Cuadrado']","['Asmir Begović', 'Glenn Whelan', 'Stephen Ireland', 'Marc Wilson', 'Steven Nzonzi', 'Charlie Adam', 'Ryan Shawcross', 'Mame Biram Diouf', 'Jonathan Walters', 'Geoff Cameron', 'Philipp Wollscheid']","['Jack Butland', 'Phil Bardsley', 'Erik Pieters', 'Marc Muniesa', 'Marko Arnautović', 'Steve Sidwell', 'Peter Crouch']","[39, 62]",[44],"[[46, 'Oscar', 'Diego Costa'], [57, 'Diego Costa', 'Didier Drogba'], [63, 'Loïc Rémy', 'Juan Cuadrado']]","[[62, 'Mame Biram Diouf', 'Marko Arnautović'], [78, 'Stephen Ireland', 'Peter Crouch'], [79, 'Charlie Adam', 'Erik Pieters']]",[],[]
2014-2015,Burnley,Tottenham Hotspur,0,0,"['Tom Heaton', 'Kieran Trippier', 'Michael Duff', 'Jason Shackell', 'Ben Mee', 'Sam Vokes', 'Danny Ings', 'Ashley Barnes', 'David Jones', 'George Boyd', 'Scott Arfield']","['Matt Gilks', 'Michael Keane', 'Michael Kightly', 'Marvin Sordell', 'Lukas Jutkiewicz', 'Fredrik Ulvestad', 'Stephen Ward']","['Michel Vorm', 'Kyle Walker', 'Danny Rose', 'Vlad Chiricheș', 'Paulinho', 'Eric Dier', 'Harry Kane', 'Nacer Chadli', 'Christian Eriksen', 'Ryan Mason', 'Nabil Bentaleb']","['Roberto Soldado', 'Érik Lamela', 'Andros Townsend', 'Mousa Dembélé', 'Brad Friedel', 'Benjamin Stambouli', 'Ben Davies']",[],[],"[[76, 'Sam Vokes', 'Lukas Jutkiewicz']]","[[47, 'Kyle Walker', 'Ben Davies'], [64, 'Nacer Chadli', 'Érik Lamela'], [83, 'Ryan Mason', 'Andros Townsend']]",[],[]
2014-2015,Sunderland,Newcastle United,1,0,"['Costel Pantilimon', 'Billy Jones', 'Patrick van Aanholt', 'Lee Cattermole', 'Seb Larsson', 'Steven Fletcher', 'Connor Wickham', 'Jordi Gómez', ""John O'Shea"", 'Jermain Defoe', 'Santiago Vergini']","['Vito Mannone', 'Liam Bridcutt', 'Adam Johnson', 'Anthony Réveillère', 'Danny Graham', 'Sebastián Coates', 'Will Buckley']","['Tim Krul', 'Ryan Taylor', 'Mike Williamson', 'Moussa Sissoko', 'Yoan Gouffran', 'Jack Colback', 'Ayoze Pérez', 'Jonás Gutiérrez', 'Rémy Cabella', 'Daryl Janmaat', 'Sammy Ameobi']","['Rob Elliot', 'Vurnon Anita', 'Gabriel Obertan', 'Emmanuel Rivière', 'Mehdi Abeid', 'Adam Armstrong', 'Olivier Kemen']",[45],[],"[[80, 'Jermain Defoe', 'Adam Johnson']]","[[58, 'Yoan Gouffran', 'Emmanuel Rivière'], [87, 'Sammy Ameobi', 'Adam Armstrong']]",[],[]
Season,Home Team,Away Team,Home Team Score,Away Team Score,Home Starting Lineup,Home Bench Lineup,Away Starting Lineup,Away Bench Lineup,Home Goal Timings,Away Goal Timings,Home Sub Timings,Away Sub Timings,Home Red Card Timings,Away Red Card Timings
2014-2015,Crystal Palace,Manchester City,2,1,"['Julián Speroni', 'Joel Ward', 'Scott Dann', 'Yannick Bolasie', 'Wilfried Zaha', 'Glenn Murray', 'James McArthur', 'Damien Delaney', 'Joe Ledley', 'Martin Kelly', 'Jason Puncheon']","['Wayne Hennessey', 'Brede Hangeland', 'Yaya Sanogo', 'Dwight Gayle', 'Shola Ameobi', 'Hiram Boateng', 'Pape Souaré']","['Joe Hart', 'Bacary Sagna', 'Vincent Kompany', 'Edin Džeko', 'Jesús Navas', 'Sergio Agüero', 'David Silva', 'Gaël Clichy', 'Fernandinho', 'Martín Demichelis', 'Yaya Touré']","['Willy Caballero', 'Pablo Zabaleta', 'Fernando', 'James Milner', 'Samir Nasri', 'Frank Lampard', 'Eliaquim Mangala']","[34, 48]",[78],"[[83, 'Glenn Murray', 'Yaya Sanogo'], [84, 'Yannick Bolasie', 'Pape Souaré'], [88, 'Wilfried Zaha', 'Dwight Gayle']]","[[66, 'Edin Džeko', 'Frank Lampard'], [77, 'Jesús Navas', 'Samir Nasri'], [88, 'Fernandinho', 'James Milner']]",[],[]
2014-2015,Aston Villa,Queens Park Rangers,3,3,"['Brad Guzan', 'Ron Vlaar', 'Ciaran Clark', 'Leandro Bacuna', 'Tom Cleverley', 'Gabby Agbonlahor', 'Fabian Delph', 'Kieran Richardson', 'Christian Benteke', 'Carlos Sánchez', 'Jack Grealish']","['Shay Given', 'Nathan Baker', 'Jores Okore', 'Andreas Weimann', 'Joe Cole', ""Charles N'Zogbia"", 'Matthew Lowton']","['Robert Green', 'Steven Caulker', 'Clint Hill', 'Matt Phillips', 'Joey Barton', 'Charlie Austin', 'Mauricio Isla', 'Nedum Onuoha', 'Niko Kranjčar', 'Bobby Zamora', 'Sandro']","['Alex McCarthy', 'Armand Traoré', 'Karl Henry', 'Junior Hoilett', 'Aaron Mitchell', 'Michael Doughty', 'Reece Grego-Cox']","[10, 33, 83]","[7, 55, 78]","[[70, 'Jack Grealish', 'Joe Cole'], [75, 'Leandro Bacuna', 'Matthew Lowton'], [81, 'Tom Cleverley', ""Charles N'Zogbia""]]","[[52, 'Mauricio Isla', 'Armand Traoré'], [52, 'Niko Kranjčar', 'Karl Henry'], [70, 'Sandro', 'Michael Doughty']]",[],[]
2014-2015,Swansea City,Everton,1,1,"['Łukasz Fabiański', 'Neil Taylor', 'Ki Sung-yueng', 'Ashley Williams', 'Jonjo Shelvey', 'Wayne Routledge', 'Bafétimbi Gomis', 'Àngel Rangel', 'Gylfi Sigurðsson', 'Jack Cork', 'Federico Fernández']","['Gerhard Tremmel', 'Jordi Amat', 'Leon Britton', 'Marvin Emnes', 'Nathan Dyer', 'Matt Grimes', 'Jay Fulton']","['Tim Howard', 'Leighton Baines', 'Phil Jagielka', 'Arouna Koné', 'Aaron Lennon', 'James McCarthy', 'Gareth Barry', 'Ross Barkley', 'Leon Osman', 'Séamus Coleman', 'John Stones']","['Joel Robles', 'Kevin Mirallas', 'Steven Naismith', 'Muhamed Bešić', 'Steven Pienaar', 'Luke Garbutt', 'Antolín Alcaraz']",[69],[41],"[[17, 'Bafétimbi Gomis', 'Marvin Emnes'], [84, 'Jonjo Shelvey', 'Nathan Dyer']]","[[28, 'Leon Osman', 'Steven Pienaar'], [76, 'Arouna Koné', 'Steven Naismith'], [86, 'Ross Barkley', 'Kevin Mirallas']]",[],[]
2014-2015,Southampton,Hull City,2,0,"['Kelvin Davis', 'Maya Yoshida', 'Morgan Schneiderlin', 'José Fonte', 'Shane Long', 'Steven Davis', 'Sadio Mané', 'Victor Wanyama', 'Toby Alderweireld', 'Graziano Pellè', 'Ryan Bertrand']","['Paulo Gazzaniga', 'Nathaniel Clyne', 'Dušan Tadić', 'James Ward-Prowse', 'Eljero Elia', 'Harrison Reed', 'Matt Targett']","['Steve Harper', 'Alex Bruce', 'James Chester', 'Tom Huddlestone', 'Jake Livermore', 'Paul McShane', 'Michael Dawson', 'Sone Aluko', 'Ahmed Elmohamady', ""Dame N'Doye"", 'Stephen Quinn']","['Allan McGregor', 'Liam Rosenior', 'Andrew Robertson', 'Abel Hernández', 'Robbie Brady', 'Mohamed Diamé', 'Yannick Sagbo']","[56, 81]",[],"[[46, 'Victor Wanyama', 'James Ward-Prowse'], [61, 'Sadio Mané', 'Dušan Tadić'], [74, 'Shane Long', 'Eljero Elia']]","[[64, 'James Chester', 'Mohamed Diamé'], [74, 'Tom Huddlestone', 'Yannick Sagbo'], [84, 'Sone Aluko', 'Abel Hernández']]",[],[]
2014-2015,Tottenham Hotspur,Aston Villa,0,1,"['Michel Vorm', 'Danny Rose', 'Vlad Chiricheș', 'Eric Dier', 'Andros Townsend', 'Harry Kane', 'Federico Fazio', 'Nacer Chadli', 'Christian Eriksen', 'Ryan Mason', 'Nabil Bentaleb']","['Paulinho', 'Roberto Soldado', 'Érik Lamela', 'DeAndre Yedlin', 'Brad Friedel', 'Benjamin Stambouli', 'Ben Davies']","['Brad Guzan', 'Ron Vlaar', 'Ciaran Clark', 'Leandro Bacuna', 'Tom Cleverley', 'Gabby Agbonlahor', 'Fabian Delph', 'Kieran Richardson', 'Christian Benteke', 'Carlos Sánchez', 'Jack Grealish']","['Shay Given', 'Nathan Baker', 'Jores Okore', 'Andreas Weimann', 'Joe Cole', ""Charles N'Zogbia"", 'Matthew Lowton']",[],[35],"[[62, 'Nacer Chadli', 'Roberto Soldado'], [79, 'Vlad Chiricheș', 'DeAndre Yedlin'], [79, 'Andros Townsend', 'Érik Lamela']]","[[18, 'Ciaran Clark', 'Nathan Baker'], [63, 'Jack Grealish', 'Andreas Weimann'], [70, 'Gabby Agbonlahor', 'Joe Cole']]",[],"[[90, 'Carlos Sánchez']]"
2014-2015,West Ham United,Stoke City,1,1,"['Adrián', 'Winston Reid', 'Aaron Cresswell', 'Cheikhou Kouyaté', 'Stewart Downing', 'Diafra Sakho', 'Mark Noble', 'Carl Jenkinson', 'James Collins', 'Alex Song', 'Enner Valencia']","['Jussi Jääskeläinen', 'Kevin Nolan', 'Matt Jarvis', 'Nenê', ""Joey O'Brien"", 'Morgan Amalfitano', 'Carlton Cole']","['Asmir Begović', 'Glenn Whelan', 'Marko Arnautović', 'Marc Wilson', 'Victor Moses', 'Steven Nzonzi', 'Charlie Adam', 'Ryan Shawcross', 'Jonathan Walters', 'Geoff Cameron', 'Philipp Wollscheid']","['Jack Butland', 'Phil Bardsley', 'Erik Pieters', 'Stephen Ireland', 'Mame Biram Diouf', 'Steve Sidwell', 'Peter Crouch']",[7],[90],"[[59, 'Diafra Sakho', 'Carlton Cole'], [68, 'Alex Song', 'Kevin Nolan'], [78, 'Enner Valencia', 'Morgan Amalfitano']]","[[44, 'Victor Moses', 'Mame Biram Diouf'], [49, 'Marc Wilson', 'Erik Pieters'], [67, 'Glenn Whelan', 'Stephen Ireland']]",[],[]
2014-2015,West Bromwich Albion,Leicester City,2,3,"['Boaz Myhill', 'Claudio Yacob', 'Joleon Lescott', 'James Morrison', 'Craig Gardner', 'Saido Berahino', 'Brown Ideye', 'Chris Brunt', 'Gareth McAuley', 'Darren Fletcher', 'Craig Dawson']","['Jack Rose', 'Jonas Olsson', 'Andre Wisdom', 'Chris Baird', 'Callum McManaman', 'Victor Anichebe', 'Stéphane Sessègnon']","['Kasper Schmeichel', 'Ritchie De Laet', 'Wes Morgan', 'Robert Huth', 'Matty James', 'Jamie Vardy', 'Marc Albrighton', 'Jeffrey Schlupp', 'Esteban Cambiasso', 'Leonardo Ulloa', 'David Nugent']","['Mark Schwarzer', 'Paul Konchesky', 'Danny Drinkwater', 'Andy King', 'Riyad Mahrez', 'Marcin Wasilewski', 'Andrej Kramarić']","[8, 26]","[20, 80, 90]","[[60, 'Brown Ideye', 'Victor Anichebe'], [73, 'Craig Gardner', 'Jonas Olsson'], [85, 'James Morrison', 'Stéphane Sessègnon']]","[[46, 'Ritchie De Laet', 'Marcin Wasilewski'], [60, 'Matty James', 'Andy King'], [64, 'Leonardo Ulloa', 'Riyad Mahrez']]",[],[]
