,Season,Name,Age,Age_Squared,Min,Height,Position,Aerial_duels_per90,Assists_per90,Goals_per90,League,Squad
2,2019-2020,Harry Winks,23,529,2221.0,178cm, MF (CM-DM),0.5668016194331984,0.0,0.0,1. Premier League,Tottenham
3,2020-2021,Harry Winks,24,576,861.0,178cm, MF (CM-DM),0.7291666666666667,0.0,0.0,1. Premier League,Tottenham
4,2021-2022,Harry Winks,25,625,912.0,178cm, MF (CM-DM),0.39603960396039606,0.1,0.0,1. Premier League,Tottenham
0,2019-2020,Pepe Reina,36,1296,1080.0,188cm, GK,1.4166666666666667,0.0,0.0,1. Premier League,Aston Villa
0,2017-2018,Alex Pritchard,24,576,998.0,171cm, FW-MF (AM),0.1801801801801802,0.09,0.09,1. Premier League,Huddersfield
1,2018-2019,Alex Pritchard,25,625,2081.0,171cm, FW-MF (AM),0.6060606060606061,0.0,0.09,1. Premier League,Huddersfield
0,2017-2018,Abdoulaye Doucouré,24,576,3324.0,180cm, MF (CM-DM),1.1382113821138211,0.08,0.19,1. Premier League,Watford
1,2018-2019,Abdoulaye Doucouré,25,625,3062.0,180cm, MF (CM-DM),1.1764705882352942,0.18,0.15,1. Premier League,Watford
2,2019-2020,Abdoulaye Doucouré,26,676,3156.0,180cm, MF (CM-DM),1.5669515669515668,0.06,0.11,1. Premier League,Watford
3,2020-2021,Abdoulaye Doucouré,27,729,2443.0,180cm, MF (CM-DM),1.4022140221402213,0.11,0.07,1. Premier League,Everton
4,2021-2022,Abdoulaye Doucouré,28,784,2537.0,180cm, MF (CM-DM),1.2411347517730498,0.14,0.07,1. Premier League,Everton
5,2022-2023,Abdoulaye Doucouré,29,841,993.0,180cm, MF (CM-DM),0.9090909090909091,0.18,0.18,1. Premier League,Everton
0,2020-2021,Joachim Andersen,24,576,2730.0,190cm, DF (CB),5.139085337105139,0.03,0.03,1. Premier League,Fulham
1,2021-2022,Joachim Andersen,25,625,2916.0,190cm, DF (CB),1.7283950617283952,0.09,0.0,1. Premier League,Crystal Palace
2,2022-2023,Joachim Andersen,26,676,2197.0,190cm, DF (CB),2.540983606557377,0.0,0.04,1. Premier League,Crystal Palace
0,2018-2019,Tim Ream,30,900,2047.0,185cm," DF (CB, left)",2.0704845814977975,0.0,0.0,1. Premier League,Fulham
1,2020-2021,Tim Ream,32,1024,630.0,185cm," DF (CB, left)",1.5714285714285714,0.0,0.0,1. Premier League,Fulham
2,2022-2023,Tim Ream,34,1156,2697.0,185cm," DF (CB, left)",1.4666666666666666,0.0,0.03,1. Premier League,Fulham
0,2021-2022,David Raya,25,625,2160.0,186cm, GK,0.375,0.0,0.0,1. Premier League,Brentford
1,2022-2023,David Raya,26,676,2790.0,186cm, GK,0.3870967741935484,0.0,0.0,1. Premier League,Brentford
0,2017-2018,Moritz Bauer,25,625,2703.0,181cm," DF-MF (FB, right)",1.2413793103448276,0.0,0.0,1. Premier League,Stoke City
0,2017-2018,Patrick van Aanholt,26,676,2184.0,175cm," DF (FB, left)",0.24691358024691357,0.04,0.21,1. Premier League,Crystal Palace
1,2018-2019,Patrick van Aanholt,27,729,3195.0,175cm," DF (FB, left)",0.28169014084507044,0.06,0.08,1. Premier League,Crystal Palace
2,2019-2020,Patrick van Aanholt,28,784,2507.0,175cm," DF (FB, left)",0.5734767025089607,0.07,0.11,1. Premier League,Crystal Palace
3,2020-2021,Patrick van Aanholt,29,841,1777.0,175cm," DF (FB, left)",0.5583756345177665,0.05,0.0,1. Premier League,Crystal Palace
